,ydata
1336,1.615912
1337,1.615594
1338,1.612839
1339,1.607647
1340,1.600125
1341,1.589953
1342,1.577733
1343,1.562758
1344,1.545735
1345,1.525744
1346,1.503635
1347,1.478771
1348,1.451894
1349,1.422827
1350,1.391147
1351,1.357913
1352,1.321676
1353,1.284204
1354,1.24387
1355,1.202124
1356,1.158718
1357,1.113193
1358,1.065796
1359,1.016774
1360,0.966375
1361,0.914317
1362,0.861198
1363,0.806631
1364,0.750264
1365,0.693649
1366,0.635515
1367,0.576816
1368,0.516846
1369,0.456523
1370,0.39521
1371,0.333156
1372,0.270996
1373,0.208165
1374,0.144946
1375,0.081938
1376,0.018789
1377,-0.044395
1378,-0.107085
1379,-0.169845
1380,-0.231511
1381,-0.292364
1382,-0.351663
1383,-0.410856
1384,-0.468319
1385,-0.524757
1386,-0.579642
1387,-0.633502
1388,-0.685596
1389,-0.736807
1390,-0.786288
1391,-0.834533
1392,-0.881683
1393,-0.927384
1394,-0.971249
1395,-1.014338
1396,-1.055624
1397,-1.096134
1398,-1.134878
1399,-1.172881
1400,-1.209258
1401,-1.244577
1402,-1.278729
1403,-1.312105
1404,-1.343573
1405,-1.37423
1406,-1.403614
1407,-1.431233
1408,-1.457545
1409,-1.482056
1410,-1.504306
1411,-1.524897
1412,-1.543439
1413,-1.56018
1414,-1.57459
1415,-1.587127
1416,-1.597299
1417,-1.605881
1418,-1.611108
1419,-1.614958
1420,-1.61623
1421,-1.61457
1422,-1.611214
1423,-1.605104
1424,-1.596345
1425,-1.585679
1426,-1.5724
1427,-1.55633
1428,-1.537788
1429,-1.517092
1430,-1.493852
1431,-1.467681
1432,-1.440063
1433,-1.409901
1434,-1.377126
1435,-1.342585
1436,-1.305889
1437,-1.267039
1438,-1.225823
1439,-1.183052
1440,-1.13841
1441,-1.092073
1442,-1.043475
1443,-0.993924
1444,-0.942253
1445,-0.8897
1446,-0.835628
1447,-0.780213
1448,-0.723563
1449,-0.665783
1450,-0.607437
1451,-0.547608
1452,-0.48732
1453,-0.426078
1454,-0.364483
1455,-0.30197
1456,-0.239598
1457,-0.176626
1458,-0.113513
1459,-0.050011
1460,0.013138
1461,0.07604
1462,0.138412
1463,0.200501
1464,0.261566
1465,0.321678
1466,0.380271
1467,0.438404
1468,0.495337
1469,0.550787
1470,0.604753
1471,0.657695
1472,0.709754
1473,0.759517
1474,0.808468
1475,0.856536
1476,0.903368
1477,0.948151
1478,0.992334
1479,1.034716
1480,1.076568
1481,1.116654
1482,1.155787
1483,1.194001
1484,1.230838
1485,1.266403
1486,1.300909
1487,1.334108
1488,1.365753
1489,1.395809
1490,1.424946
1491,1.451965
1492,1.476688
1493,1.500315
1494,1.521259
1495,1.540649
1496,1.557637
1497,1.572859
1498,1.585468
1499,1.596381
1500,1.604892
1501,1.610932
1502,1.614746
1503,1.616018
1504,1.614993
1505,1.61178
1506,1.605634
1507,1.597228
1508,1.586492
1509,1.573177
1510,1.557778
1511,1.539589
1512,1.519105
1513,1.496007
1514,1.47086
1515,1.443206
1516,1.413256
1517,1.381081
1518,1.346964
1519,1.310268
1520,1.271524
1521,1.231297
1522,1.18948
1523,1.144697
1524,1.098819
1525,1.050998
1526,1.001729
1527,0.950588
1528,0.898141
1529,0.844528
1530,0.789255
1531,0.73317
1532,0.675424
1533,0.61715
1534,0.558027
1535,0.498127
1536,0.437345
1537,0.375785
1538,0.313908
1539,0.251571
1540,0.188811
1541,0.125909
1542,0.062513
1543,-0.000706
1544,-0.063537
1545,-0.126545
1546,-0.189058
1547,-0.249805
1548,-0.310517
1549,-0.369958
1550,-0.428056
1551,-0.485201
1552,-0.541004
1553,-0.595676
1554,-0.648971
1555,-0.700712
1556,-0.751359
1557,-0.800839
1558,-0.847671
1559,-0.894574
1560,-0.939428
1561,-0.983469
1562,-1.025216
1563,-1.066538
1564,-1.106447
1565,-1.14505
1566,-1.18224
1567,-1.218371
1568,-1.252841
1569,-1.286535
1570,-1.319275
1571,-1.350708
1572,-1.381117
1573,-1.409689
1574,-1.437273
1575,-1.462454
1576,-1.486365
1577,-1.508827
1578,-1.528958
1579,-1.546794
1580,-1.562793
1581,-1.576709
1582,-1.588787
1583,-1.598217
1584,-1.605952
1585,-1.610897
1586,-1.613863
1587,-1.614111
1588,-1.612168
1589,-1.607718
1590,-1.601007
1591,-1.592143
1592,-1.580099
1593,-1.56576
1594,-1.549443
1595,-1.530371
1596,-1.508545
1597,-1.484846
1598,-1.458711
1599,-1.430138
1600,-1.399341
1601,-1.366036
1602,-1.330859
1603,-1.293492
1604,-1.253759
1605,-1.212261
1606,-1.16889
1607,-1.124036
1608,-1.077098
1609,-1.028112
1610,-0.978313
1611,-0.926289
1612,-0.873171
1613,-0.818957
1614,-0.763049
1615,-0.706222
1616,-0.647912
1617,-0.589283
1618,-0.529349
1619,-0.46899
1620,-0.407713
1621,-0.345729
1622,-0.283252
1623,-0.220774
1624,-0.15766
1625,-0.09437
1626,-0.031151
1627,0.03168
1628,0.094335
1629,0.15706
1630,0.218549
1631,0.279437
1632,0.339302
1633,0.39793
1634,0.455251
1635,0.511584
1636,0.566998
1637,0.620434
1638,0.673305
1639,0.724693
1640,0.774563
1641,0.823019
1642,0.870522
1643,0.916612
1644,0.961749
1645,1.005049
1646,1.047501
1647,1.088541
1648,1.128274
1649,1.167159
1650,1.204738
1651,1.241433
1652,1.276646
1653,1.310728
1654,1.343679
1655,1.375077
1656,1.404815
1657,1.432999
1658,1.459417
1659,1.483681
1660,1.506602
1661,1.527263
1662,1.545452
1663,1.562016
1664,1.576567
1665,1.588681
1666,1.598676
1667,1.60687
1668,1.611744
1669,1.614676
1670,1.6157
1671,1.613651
1672,1.609237
1673,1.602667
1674,1.593697
1675,1.582148
1676,1.568056
1677,1.551209
1678,1.532561
1679,1.511335
1680,1.487707
1681,1.461677
1682,1.433176
1683,1.402767
1684,1.370203
1685,1.334815
1686,1.29773
1687,1.258245
1688,1.217523
1689,1.174399
1690,1.12898
1691,1.082643
1692,1.034575
1693,0.98467
1694,0.933035
1695,0.880164
1696,0.826268
1697,0.770784
1698,0.713921
1699,0.656317
1700,0.598078
1701,0.538107
1702,0.478067
1703,0.416931
1704,0.355407
1705,0.293353
1706,0.231087
1707,0.167832
1708,0.104436
1709,0.041464
1710,-0.021509
1711,-0.084622
1712,-0.146924
1713,-0.208942
1714,-0.270255
1715,-0.329907
1716,-0.388924
1717,-0.446916
1718,-0.503496
1719,-0.558804
1720,-0.612699
1721,-0.665359
1722,-0.716394
1723,-0.766404
1724,-0.815002
1725,-0.862152
1726,-0.908065
1727,-0.952495
1728,-0.995372
1729,-1.037789
1730,-1.077981
1731,-1.117184
1732,-1.155186
1733,-1.19167
1734,-1.227553
1735,-1.261706
1736,-1.295505
1737,-1.326974
1738,-1.358513
1739,-1.388039
1740,-1.416188
1741,-1.443029
1742,-1.467929
1743,-1.491345
1744,-1.512924
1745,-1.53196
1746,-1.549408
1747,-1.565407
1748,-1.578757
1749,-1.590235
1750,-1.598818
1751,-1.606023
1752,-1.610402
1753,-1.612662
1754,-1.612627
1755,-1.610226
1756,-1.604751
1757,-1.597688
1758,-1.587551
1759,-1.574978
